Id,ActivityDate,TotalSteps,TotalDistance,VeryActiveDistance,ModeratelyActiveDistance,LightActiveDistance,VeryActiveMinutes,FairlyActiveMinutes,LightlyActiveMinutes,SedentaryMinutes,Calories
1503960366,2016-03-25,11004,7.11,2.57,0.46,4.07,33,12,205,804,1819
1503960366,2016-03-26,17609,11.55,6.92,0.73,3.91,89,17,274,588,2154
1503960366,2016-03-27,12736,8.53,4.66,0.16,3.71,56,5,268,605,1944
1503960366,2016-03-28,13231,8.93,3.19,0.79,4.95,39,20,224,1080,1932
1503960366,2016-03-29,12041,7.85,2.16,1.09,4.61,28,28,243,763,1886
1503960366,2016-03-30,10970,7.16,2.36,0.51,4.29,30,13,223,1174,1820
1503960366,2016-03-31,12256,7.86,2.29,0.49,5.04,33,12,239,820,1889
1503960366,2016-04-01,12262,7.87,3.32,0.83,3.64,47,21,200,866,1868
1503960366,2016-04-02,11248,7.25,3.0,0.45,3.74,40,11,244,636,1843
1503960366,2016-04-03,10016,6.37,0.91,1.28,4.18,15,30,314,655,1850
1503960366,2016-04-04,14557,9.8,3.39,0.7,5.69,43,18,285,757,2030
1503960366,2016-04-05,14844,9.73,2.94,0.76,6.04,36,18,341,736,2083
1503960366,2016-04-06,11974,7.67,2.04,0.48,5.15,27,12,228,1173,1861
1503960366,2016-04-07,10198,6.44,1.2,0.79,4.45,17,20,195,1208,1755
1503960366,2016-04-08,12521,7.94,3.31,0.9,3.74,46,22,212,1160,1895
1503960366,2016-04-09,12432,8.1,2.59,0.59,4.92,32,15,248,738,1883
1503960366,2016-04-10,10057,6.98,4.0,0.49,2.48,44,13,168,737,1755
1503960366,2016-04-11,10990,7.26,2.04,0.57,4.65,26,14,216,855,1811
1503960366,2016-04-12,224,0.14,0.0,0.0,0.13,0,0,9,32,50
1624580081,2016-03-25,1810,1.18,0.0,0.0,1.13,0,0,121,1319,1373
1624580081,2016-03-26,815,0.53,0.0,0.0,0.53,0,0,47,1393,1264
1624580081,2016-03-27,1985,1.29,0.0,0.0,1.28,0,0,112,1328,1350
1624580081,2016-03-28,1905,1.24,0.0,0.0,1.24,0,0,95,1345,1342
1624580081,2016-03-29,1552,1.01,0.0,0.0,1.0,0,0,66,1374,1300
1624580081,2016-03-30,1675,1.09,0.0,0.0,1.09,0,0,84,1356,1313
1624580081,2016-03-31,4506,2.93,0.51,0.27,2.15,7,4,144,1285,1498
1624580081,2016-04-01,9218,5.99,0.0,0.0,5.97,0,0,221,1219,1541
1624580081,2016-04-02,1556,1.01,0.0,0.0,1.01,0,0,88,1352,1327
1624580081,2016-04-03,2910,1.89,0.0,0.0,1.88,0,0,157,1283,1452
1624580081,2016-04-04,18464,12.0,0.0,0.0,12.0,0,0,270,1170,1574
1624580081,2016-04-05,1335,0.87,0.0,0.0,0.87,0,0,74,1366,1308
1624580081,2016-04-06,1004,0.65,0.0,0.0,0.65,0,0,55,1385,1276
1624580081,2016-04-07,1111,0.72,0.0,0.0,0.72,0,0,54,1386,1278
1624580081,2016-04-08,6344,4.12,0.0,0.0,4.1,0,0,143,1297,1409
1624580081,2016-04-09,3572,2.32,0.0,0.0,2.29,0,0,122,1318,1370
1624580081,2016-04-10,3910,2.54,0.47,0.25,1.81,7,7,186,1240,1555
1624580081,2016-04-11,10000,6.5,0.0,0.0,6.5,0,0,172,1268,1469
1624580081,2016-04-12,6627,4.31,0.0,0.0,4.31,0,0,89,604,706
1644430081,2016-04-01,4636,3.41,0.0,0.78,2.6,0,16,586,838,3323
1644430081,2016-04-02,20237,14.71,2.57,6.4,5.73,34,141,347,918,4029
1644430081,2016-04-03,12912,9.41,4.83,0.77,3.79,59,16,283,1082,3436
1644430081,2016-04-04,2819,2.05,0.31,0.17,1.56,4,4,87,1345,2444
1644430081,2016-04-05,9921,7.21,0.34,1.52,5.36,5,35,219,1181,3098
1644430081,2016-04-06,8046,5.85,1.29,2.12,2.45,18,41,137,1244,2925
1644430081,2016-04-07,11166,8.12,0.21,2.41,5.5,3,58,230,1149,3202
1644430081,2016-04-08,7842,5.7,0.48,2.41,2.81,7,43,161,1229,2928
1644430081,2016-04-09,13840,10.06,1.31,3.72,5.03,18,81,192,1149,3290
1644430081,2016-04-10,1329,0.97,0.0,0.0,0.97,0,0,35,207,489
1844505072,2016-04-01,6847,4.53,0.61,0.37,3.55,9,9,251,1171,1969
1844505072,2016-04-02,5367,3.55,0.0,0.0,3.55,0,0,263,1177,1889
1844505072,2016-04-03,2841,1.88,0.0,0.0,1.88,0,0,136,1114,1636
1844505072,2016-04-04,0,0.0,0.0,0.0,0.0,0,0,0,669,1347
1844505072,2016-04-05,0,0.0,0.0,0.0,0.0,0,0,0,1440,1347
1844505072,2016-04-06,7,0.0,0.0,0.0,0.0,0,0,1,1439,1349
1844505072,2016-04-07,6344,4.19,0.0,0.0,4.19,0,0,290,1150,1965
1844505072,2016-04-08,5316,3.51,0.0,0.0,3.51,0,0,221,1219,1824
1844505072,2016-04-09,4979,3.29,0.0,0.0,3.29,0,0,184,620,1807
1844505072,2016-04-10,6556,4.34,0.0,0.0,4.33,0,0,305,810,1971
1844505072,2016-04-11,5430,3.59,0.0,0.0,3.59,0,0,251,1189,1888
1844505072,2016-04-12,0,0.0,0.0,0.0,0.0,0,0,0,426,399
1927972279,2016-04-01,4317,2.99,0.0,0.37,2.62,0,11,192,854,2590
1927972279,2016-04-02,5662,3.92,0.0,0.0,3.92,0,0,267,858,2783
1927972279,2016-04-03,3198,2.21,0.0,0.0,2.21,0,0,146,1183,2449
1927972279,2016-04-04,2352,1.63,0.0,0.0,1.63,0,0,128,829,2380
1927972279,2016-04-05,2234,1.55,0.0,0.0,1.55,0,0,108,912,2344
1927972279,2016-04-06,1259,0.87,0.0,0.0,0.87,0,0,73,938,2202
1927972279,2016-04-07,768,0.53,0.0,0.0,0.53,0,0,43,1397,2130
1927972279,2016-04-08,519,0.36,0.0,0.0,0.36,0,0,34,1406,2088
1927972279,2016-04-09,2523,1.75,0.0,0.37,1.38,0,9,134,1250,2443
1927972279,2016-04-10,2105,1.46,0.0,0.0,1.46,0,0,139,805,2442
1927972279,2016-04-11,1209,0.84,0.0,0.0,0.84,0,0,73,842,2255
1927972279,2016-04-12,24,0.02,0.0,0.0,0.02,0,0,3,161,942
2022484408,2016-04-01,13603,9.6,5.46,0.63,3.51,72,16,213,1139,2645
2022484408,2016-04-02,5477,3.84,0.0,0.0,3.84,0,0,237,1203,2040
2022484408,2016-04-03,11144,7.82,1.79,0.89,5.14,25,22,279,1114,2395
2022484408,2016-04-04,15313,11.0,5.02,1.29,4.69,62,19,233,1126,2581
2022484408,2016-04-05,10805,7.59,0.72,0.98,5.89,36,37,298,1069,2735
2022484408,2016-04-06,15392,10.93,3.43,1.75,5.75,47,42,258,1093,2733
2022484408,2016-04-07,18247,13.83,7.11,2.21,4.51,72,62,252,1054,3021
2022484408,2016-04-08,13023,9.26,3.23,0.56,5.47,40,12,296,1092,2577
2022484408,2016-04-09,16267,12.59,5.75,0.47,6.37,44,16,302,1078,2811
2022484408,2016-04-10,10005,7.02,0.08,1.05,5.9,1,23,339,1077,2458
2022484408,2016-04-11,10106,7.09,1.21,0.56,5.33,41,16,272,1111,2568
2022484408,2016-04-12,6717,4.72,3.23,0.22,1.27,41,5,67,551,1140
2026352035,2016-04-01,2605,1.62,0.0,0.0,1.62,0,0,166,729,1407
2026352035,2016-04-02,1229,0.76,0.0,0.0,0.76,0,0,69,795,1237
2026352035,2016-04-03,2308,1.43,0.0,0.0,1.43,0,0,115,720,1330
2026352035,2016-04-04,6679,4.14,0.0,0.0,4.14,0,0,263,644,1583
2026352035,2016-04-05,5645,3.5,0.0,0.0,3.5,0,0,248,621,1538
2026352035,2016-04-06,3180,1.97,0.0,0.0,1.97,0,0,185,738,1421
2026352035,2016-04-07,2767,1.72,0.0,0.0,1.72,0,0,170,673,1392
2026352035,2016-04-08,3762,2.33,0.0,0.0,2.33,0,0,173,719,1425
2026352035,2016-04-09,3098,1.92,0.0,0.0,1.92,0,0,185,700,1413
2026352035,2016-04-10,5142,3.19,0.0,0.0,3.19,0,0,230,654,1515
2026352035,2016-04-11,3279,2.03,0.0,0.0,2.03,0,0,164,694,1405
2026352035,2016-04-12,1019,0.63,0.0,0.0,0.63,0,0,64,223,600
2320127002,2016-04-01,0,0.0,0.0,0.0,0.0,0,0,0,1440,1324
2320127002,2016-04-02,0,0.0,0.0,0.0,0.0,0,0,0,1440,1324
2320127002,2016-04-03,0,0.0,0.0,0.0,0.0,0,0,0,1440,1324
2320127002,2016-04-04,0,0.0,0.0,0.0,0.0,0,0,0,1440,1324
2320127002,2016-04-05,4931,3.32,0.0,0.0,3.32,0,0,175,1265,1708
2320127002,2016-04-06,6999,4.72,0.0,0.0,4.72,0,0,320,1120,1950
2320127002,2016-04-07,1846,1.24,0.0,0.0,1.24,0,0,93,1347,1508
2320127002,2016-04-08,3417,2.3,0.0,0.0,2.3,0,0,153,1287,1625
2320127002,2016-04-09,4863,3.28,0.06,0.42,2.8,1,11,208,1220,1772
2320127002,2016-04-10,2277,1.53,0.0,0.0,1.53,0,0,103,1337,1530
2320127002,2016-04-11,11230,7.67,0.89,0.12,6.66,10,2,390,1038,2206
2320127002,2016-04-12,2098,1.41,0.0,0.0,1.41,0,0,69,617,790
2347167796,2016-03-29,10272,6.79,0.16,3.12,3.5,2,58,208,700,2041
2347167796,2016-03-30,10533,7.1,1.77,2.06,3.27,21,35,255,615,2187
2347167796,2016-03-31,6760,4.47,0.0,0.0,4.47,0,0,250,613,1929
2347167796,2016-04-01,8328,5.51,0.0,2.0,3.5,0,33,212,804,1935
2347167796,2016-04-02,15459,10.22,3.59,0.81,5.82,51,16,327,583,2438
2347167796,2016-04-03,7485,4.95,0.0,0.0,4.95,0,0,324,491,2035
2347167796,2016-04-04,10254,6.8,1.42,1.23,4.16,21,25,231,638,2099
2347167796,2016-04-05,10114,6.82,1.64,0.48,4.68,18,9,269,696,2096
2347167796,2016-04-06,11107,7.34,0.9,2.76,3.68,14,46,196,759,2058
2347167796,2016-04-07,10320,6.85,0.68,1.23,4.94,15,32,315,1002,2338
2347167796,2016-04-08,10209,6.75,0.16,0.35,6.23,2,6,316,711,2104
2347167796,2016-04-09,16081,10.63,1.25,1.82,7.56,16,32,401,970,2488
2347167796,2016-04-10,10078,6.83,1.02,0.12,5.69,12,3,303,463,2164
2347167796,2016-04-11,10001,6.61,0.33,2.93,3.36,5,52,196,788,2009
2347167796,2016-04-12,0,0.0,0.0,0.0,0.0,0,0,0,425,399
2873212765,2016-04-01,890,0.6,0.0,0.0,0.6,0,0,41,1399,1335
2873212765,2016-04-02,2214,1.49,0.0,0.0,1.49,0,0,197,1243,1559
2873212765,2016-04-03,7640,5.13,0.19,0.8,4.15,3,15,315,1107,1845
2873212765,2016-04-04,9713,6.53,0.34,0.89,5.29,6,24,355,1055,2046
2873212765,2016-04-05,8432,5.67,0.0,0.0,5.65,0,0,374,1066,1953
2873212765,2016-04-06,7350,4.94,0.0,0.0,4.94,0,0,382,1058,1910
2873212765,2016-04-07,9353,6.31,0.37,0.69,5.24,5,17,363,1055,2035
2873212765,2016-04-08,7157,4.81,0.0,0.0,4.81,0,0,380,1060,1944
2873212765,2016-04-09,14103,9.56,3.02,0.41,6.14,46,8,288,1098,2257
2873212765,2016-04-10,5290,3.55,0.04,0.34,3.17,1,8,251,1180,1724
2873212765,2016-04-11,7497,5.04,0.0,0.0,5.04,0,0,357,882,1741
2873212765,2016-04-12,0,0.0,0.0,0.0,0.0,0,0,0,1440,0
2891001357,2016-03-29,0,0.0,0.0,0.0,0.0,0,0,0,1440,1920
2891001357,2016-03-30,0,0.0,0.0,0.0,0.0,0,0,0,1440,1920
2891001357,2016-03-31,0,0.0,0.0,0.0,0.0,0,0,0,1440,1920
2891001357,2016-04-01,0,0.0,0.0,0.0,0.0,0,660,0,780,4562
2891001357,2016-04-02,4126,3.22,0.0,0.0,3.22,0,0,720,720,2881
2891001357,2016-04-03,0,0.0,0.0,0.0,0.0,0,0,0,1440,1920
2891001357,2016-04-04,0,0.0,0.0,0.0,0.0,0,0,0,1440,1920
2891001357,2016-04-05,2063,1.61,0.0,0.0,1.61,0,0,630,99,1144
3372868164,2016-04-01,5785,3.95,0.0,0.0,3.91,0,0,311,1129,1852
3372868164,2016-04-02,7625,5.23,1.68,0.04,3.5,24,1,341,1074,2069
3372868164,2016-04-03,4706,3.21,0.0,0.0,3.21,0,0,299,1141,1816
3372868164,2016-04-04,5861,4.02,1.3,0.22,2.49,20,7,233,1180,1878
3372868164,2016-04-05,4460,3.04,0.0,0.0,3.02,0,0,248,1192,1787
3372868164,2016-04-06,6406,4.39,0.78,0.09,3.52,17,4,325,1094,2010
3372868164,2016-04-07,7392,5.1,0.87,0.16,4.05,14,9,332,1085,2038
3372868164,2016-04-08,5551,3.79,0.0,0.0,3.77,0,0,282,1158,1815
3372868164,2016-04-09,8827,6.25,1.77,0.48,4.0,21,10,346,1063,2062
3372868164,2016-04-10,4662,3.18,1.04,0.15,1.99,22,4,152,735,1276
3977333714,2016-04-01,4499,3.01,0.0,0.0,3.01,0,0,168,842,1288
3977333714,2016-04-02,7618,5.1,0.0,0.18,4.91,0,6,302,842,1490
3977333714,2016-04-03,11508,7.7,2.17,0.84,4.69,29,22,282,748,1630
3977333714,2016-04-04,11943,7.99,1.03,2.01,4.95,16,43,297,710,1648
3977333714,2016-04-05,12303,8.23,1.71,1.35,5.17,26,32,291,605,1649
3977333714,2016-04-06,15425,10.32,1.62,1.82,6.87,24,45,331,614,1783
3977333714,2016-04-07,8422,5.63,0.0,3.6,2.04,0,81,139,815,1431
3977333714,2016-04-08,10226,6.84,0.0,4.44,2.4,0,101,174,685,1524
3977333714,2016-04-09,14583,9.76,2.48,1.74,5.53,35,36,254,697,1697
3977333714,2016-04-10,3573,2.39,0.94,0.41,0.97,15,8,99,866,1232
3977333714,2016-04-11,3108,2.14,0.07,0.04,1.96,1,1,129,894,1223
3977333714,2016-04-12,759,0.57,0.0,0.0,0.57,0,0,17,187,182
